Error processing anime ID 48222: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48222/ for id=48222, endpoint=anime
Error processing anime ID 48230: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48230/ for id=48230, endpoint=anime
Error processing anime ID 48232: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48232/ for id=48232, endpoint=anime
Error processing anime ID 48233: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48233/ for id=48233, endpoint=anime
Error processing anime ID 48234: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48234/ for id=48234, endpoint=anime
Error processing anime ID 48236: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48236/ for id=48236, endpoint=anime
Error processing anime ID 48237: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48237/ for id=48237, endpoint=anime
Error processing anime ID 48243: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48243/ for id=48243, endpoint=anime
Error processing anime ID 48244: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48244/ for id=48244, endpoint=anime
Error processing anime ID 48246: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48246/ for id=48246, endpoint=anime
Error processing anime ID 48247: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48247/ for id=48247, endpoint=anime
Error processing anime ID 48248: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48248/ for id=48248, endpoint=anime
Error processing anime ID 48249: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48249/ for id=48249, endpoint=anime
Error processing anime ID 48261: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48261/ for id=48261, endpoint=anime
Error processing anime ID 48265: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48265/ for id=48265, endpoint=anime
Error processing anime ID 48267: HTTP 404 - status=404, type=BadResponseException, message=Resource does not exist, error=404 on https://myanimelist.net/anime/48267/ for id=48267, endpoint=anime
